id,happiness
8001,3.8991516
8002,2.4309301
8003,3.252598
8004,4.2765694
8005,3.4481874
8006,4.173432
8007,3.8446305
8008,4.5628324
8009,3.9882882
8010,3.023417
8011,3.2664044
8012,3.7610939
8013,4.111804
8014,3.6460657
8015,3.6314538
8016,4.5397058
8017,3.791734
8018,4.237628
8019,3.969969
8020,3.9959505
8021,3.9784548
8022,3.727148
8023,3.845111
8024,3.6999152
8025,3.3190975
8026,4.065525
8027,4.2526636
8028,4.107642
8029,4.1932287
8030,4.094837
8031,3.8685532
8032,3.8649564
8033,4.064168
8034,3.3270564
8035,3.454387
8036,4.7626905
8037,3.9778717
8038,4.002231
8039,3.5024555
8040,4.2236156
8041,4.283349
8042,3.7220898
8043,3.9767394
8044,3.8114762
8045,4.2482433
8046,3.921796
8047,4.429618
8048,4.086113
8049,3.8743718
8050,4.5010743
8051,3.9069777
8052,4.2883825
8053,3.1283035
8054,3.9388032
8055,4.067101
8056,2.8825302
8057,3.9672158
8058,3.3446608
8059,2.994751
8060,4.1781054
8061,2.964031
8062,3.549032
8063,3.904696
8064,4.085233
8065,4.0412292
8066,4.1238785
8067,4.0123367
8068,4.0009212
8069,3.5280902
8070,3.898282
8071,3.8606212
8072,4.523469
8073,3.7018297
8074,3.8500702
8075,3.1322951
8076,3.6372628
8077,3.5927627
8078,3.7146757
8079,4.452958
8080,3.9287372
8081,3.9857259
8082,3.9299495
8083,4.4949837
8084,4.435857
8085,4.425252
8086,4.067026
8087,3.870548
8088,4.194418
8089,3.7621446
8090,3.8777528
8091,4.1800013
8092,3.587963
8093,4.1439867
8094,4.107943
8095,4.7675195
8096,3.3181727
8097,4.145995
8098,3.970691
8099,3.5937493
8100,4.023484
8101,4.2166805
8102,4.139922
8103,3.5935097
8104,4.3927994
8105,4.0031176
8106,4.246702
8107,4.1936417
8108,4.1178794
8109,3.7928908
8110,3.7362013
8111,4.246071
8112,3.503557
8113,3.936081
8114,4.390476
8115,3.9945292
8116,3.9060736
8117,3.7534385
8118,3.6894114
8119,3.9044442
8120,4.500507
8121,3.0433624
8122,4.179262
8123,3.6552699
8124,3.6754754
8125,4.133032
8126,4.5406594
8127,2.0377011
8128,3.9085996
8129,3.8355024
8130,3.8688958
8131,3.695089
8132,4.13329
8133,4.22853
8134,4.193337
8135,4.0411234
8136,4.5044293
8137,4.1530104
8138,3.7079499
8139,3.82367
8140,3.1263623
8141,4.032387
8142,3.6818159
8143,4.368211
8144,3.6553729
8145,4.0772943
8146,2.1545181
8147,4.1320305
8148,2.6928594
8149,3.573585
8150,3.611584
8151,2.709581
8152,4.1236744
8153,3.612621
8154,3.714846
8155,3.818609
8156,3.8534606
8157,3.9186568
8158,3.3308694
8159,4.0845866
8160,4.115716
8161,3.3610437
8162,4.001154
8163,3.74208
8164,3.961811
8165,4.065489
8166,4.455536
8167,3.6725974
8168,3.0565155
8169,3.245034
8170,3.9760764
8171,3.9043486
8172,3.8071096
8173,3.6893194
8174,3.8417792
8175,3.7877703
8176,4.200849
8177,2.5766594
8178,4.1143746
8179,4.372777
8180,3.1925573
8181,3.77249
8182,3.8245742
8183,3.6270437
8184,3.806861
8185,3.4386132
8186,3.5514693
8187,4.1450467
8188,3.7385395
8189,3.9316602
8190,3.918095
8191,3.6711743
8192,3.8329563
8193,3.9368143
8194,4.0218678
8195,4.5426874
8196,3.3265064
8197,3.8492308
8198,3.9308846
8199,4.209779
8200,4.89136
8201,3.4382434
8202,4.218602
8203,3.9204059
8204,4.0128264
8205,4.145725
8206,3.9144251
8207,3.9509714
8208,3.7910402
8209,3.8314922
8210,3.6221447
8211,3.7336106
8212,4.066437
8213,4.3517895
8214,4.20858
8215,3.7299945
8216,3.9933007
8217,3.462074
8218,3.740131
8219,3.7404032
8220,4.118807
8221,4.470552
8222,3.7816176
8223,3.1090136
8224,3.8689141
8225,4.052676
8226,3.9537654
8227,4.4448338
8228,3.3818078
8229,4.0786743
8230,3.261845
8231,3.9315095
8232,3.7479253
8233,3.8162665
8234,3.9169476
8235,3.6268053
8236,3.0911045
8237,3.5796192
8238,3.6983662
8239,3.5721214
8240,3.1069465
8241,3.5603557
8242,3.8421133
8243,4.1106176
8244,4.0946608
8245,3.6554196
8246,3.982859
8247,3.859218
8248,3.9441042
8249,4.370158
8250,3.704516
8251,4.2856855
8252,4.424819
8253,3.76538
8254,3.6655433
8255,3.624889
8256,3.7244732
8257,3.9485347
8258,3.032894
8259,4.0777884
8260,3.948775
8261,4.2655454
8262,3.806271
8263,3.9579012
8264,4.0152817
8265,4.274308
8266,3.2408397
8267,3.7433586
8268,3.9266415
8269,3.549714
8270,3.7916634
8271,3.0309768
8272,4.073353
8273,3.942142
8274,3.672272
8275,4.096031
8276,4.142169
8277,3.9783564
8278,3.8648334
8279,4.330223
8280,4.2928524
8281,4.045763
8282,4.1556625
8283,4.035023
8284,4.1835084
8285,3.7552588
8286,2.2220545
8287,4.40316
8288,3.8420718
8289,4.0195675
8290,4.0252266
8291,3.913078
8292,4.066066
8293,3.706782
8294,4.4787135
8295,3.5290647
8296,4.2736435
8297,3.6820242
8298,4.799193
8299,2.8470664
8300,3.216604
8301,3.8044674
8302,4.435828
8303,3.7097738
8304,4.039036
8305,3.9592092
8306,4.588929
8307,4.1846533
8308,4.4524155
8309,3.6016963
8310,3.828027
8311,4.220021
8312,4.6745915
8313,4.267587
8314,3.0259225
8315,4.0445647
8316,4.0258045
8317,3.7026434
8318,4.2055416
8319,3.3468258
8320,3.9416387
8321,4.1459455
8322,4.2175064
8323,3.8169022
8324,3.6171446
8325,4.1883535
8326,4.2920117
8327,3.6337023
8328,4.055705
8329,2.9654248
8330,4.4186935
8331,4.294098
8332,3.8392665
8333,3.3991146
8334,4.177843
8335,3.6596916
8336,4.1004295
8337,3.5055592
8338,4.099963
8339,3.6525233
8340,3.447841
8341,3.9426079
8342,4.0157986
8343,3.0284286
8344,4.13095
