id,happiness
8001,3.7446588119382436
8002,2.8262441816597854
8003,3.447362370640092
8004,4.387224726664838
8005,3.4747511732522813
8006,4.34869500607188
8007,3.8120095807409706
8008,4.499551326997049
8009,4.0715876947971115
8010,3.1182836027453926
8011,3.000244328761251
8012,3.7366877967081398
8013,4.180561120666361
8014,3.777044962530955
8015,3.588597338525726
8016,4.522302258485539
8017,3.7786547472544707
8018,4.3056379259904185
8019,3.9678140249675318
8020,3.996421146307952
8021,4.01521627754763
8022,3.593263775685804
8023,3.966290267355486
8024,3.620909032141062
8025,3.295696510276701
8026,4.121393996857854
8027,4.173851478615766
8028,4.148151668569174
8029,4.361058640351113
8030,4.2676070490540505
8031,3.9001639244436217
8032,4.267244848588353
8033,4.313412268247986
8034,3.467384363573217
8035,3.5100185932160293
8036,4.6408303031830735
8037,4.141914772069772
8038,4.158187469123259
8039,3.426699423311178
8040,4.1266868339186145
8041,4.312834000866394
8042,3.736817066824094
8043,3.726410168675984
8044,3.8455015995596193
8045,4.235289975023511
8046,3.832952236181589
8047,4.242645878531597
8048,4.014912395041778
8049,3.862760779547196
8050,4.451274025376147
8051,3.5959172055943935
8052,4.305139620649575
8053,2.914211579677333
8054,4.047113683347648
8055,4.199747740494729
8056,2.872521290256691
8057,3.84558251313082
8058,3.1583883556548096
8059,3.096255719593908
8060,4.115200491146449
8061,3.1383039051754715
8062,3.509498939274277
8063,4.037831503786089
8064,4.15133167390722
8065,4.063667469149654
8066,4.092645339731212
8067,3.9959886786851198
8068,4.051983175066178
8069,3.7283163980328173
8070,3.968798458432482
8071,3.9677977036278196
8072,4.403973296305725
8073,3.8430779521534495
8074,3.906928656154647
8075,3.346045417100789
8076,3.777969213741129
8077,3.67646969702367
8078,3.6459821952634606
8079,4.544234346045493
8080,3.930676031793401
8081,4.00394680775612
8082,3.9639373815694006
8083,4.480603093762804
8084,4.53536341662282
8085,4.47093606508922
8086,4.264285120852549
8087,4.010512907948347
8088,4.196634193991049
8089,3.5997863145288393
8090,3.7746830835051606
8091,4.28323895964656
8092,3.939000273798488
8093,4.196861136131849
8094,4.282628564235451
8095,4.561014732363621
8096,3.2391077304206637
8097,4.4004407279737485
8098,3.9664388892389364
8099,3.554722946501858
8100,3.9863983166641974
8101,4.218697377270172
8102,4.229709203422264
8103,3.619651999418048
8104,4.485487230320338
8105,3.8862294038178287
8106,4.166513028266818
8107,4.198955714307569
8108,4.065333916107734
8109,3.8904525105731245
8110,3.6422556017335443
8111,4.221513605349364
8112,3.774755472121968
8113,3.9945701419655397
8114,4.817013427528234
8115,3.940818742772333
8116,4.009297751922661
8117,3.7643146053320304
8118,3.856641621544119
8119,4.058635106053057
8120,4.6122461173751494
8121,3.0336232632771862
8122,4.109186838337898
8123,3.6091068109665487
8124,3.5904436770897705
8125,4.17263090551487
8126,4.528970253035658
8127,2.177947075927343
8128,4.069288246995553
8129,3.8041052321673057
8130,3.8988797403331303
8131,3.5787823117287894
8132,4.154260556406101
8133,4.232415051850199
8134,4.170122019995925
8135,4.00407939706604
8136,4.4643087417146745
8137,4.207926468503415
8138,3.5147084167029017
8139,3.908235016243211
8140,2.977595884029898
8141,3.9541801295551857
8142,3.9402503373739406
8143,4.408425897773575
